7,3,11,7,Pedro,Maria,João,Terra,Marte,Marte,TER-01,MAR-01,MAR-01,14,42,21
13,7,11,5,Laura,Miguel,Beztriz,Saturno,Terra,Netuno,SAT-02,TER-02,NET-02,11,40,28
1,11,7,5,Ana,Sofia,Carolina,Uranu,Vênus,Saturno,URU-03,VEN-03,SAT-03,30,61,54
9,2,11,7,Henrique,Raissa,Karoliny,Marte,Vênus,Vênus,MAR-04,VEN-04,VEN-04,20,19,20
40,7,3,1,RAFAEL,GABRIEL,MIGUEL,Terra,Putão,Mercúrio,TER-05,PLU-05,MER-05,16,26,46
87,3,11,5,João,Maria,Pedro,Saturno,Urano,Netuno,SAT-04,URA-05,NET-06,14,29,73
15,7,13,2,Ana,Luis,Sofia,Vênus,Mercúrio,Plutão,VEN-07,MER-08,PLU-09,41,68,7
62,11,3,7,Carlos,Laura,André,Júpiter,Marte,Terra,JUP-10,MAR-11,TER-12,5,33,79
48,2,5,11,Sofia,Lucas,Alice,Netuno,Saturno,Urano,NET-13,SAT-14,URA-15,18,76,9
9,13,7,3,Eduardo,Isabela,Guilherme,Mercúrio,Vênus,Plutão,MER-16,VEN-17,PLU-18,27,63,37
72,5,11,2,Clara,Miguel,Lara,Terra,Marte,Júpiter,TER-19,MAR-20,JUP-21,14,55,71
33,7,13,3,Rafael,Mariana,Camila,Urano,Netuno,Saturno,URA-22,NET-23,SAT-24,61,26,5
17,11,2,5,Laura,Mateus,Sofia,Plutão,Terra,Mercúrio,PLU-25,TER-26,MER-27,9,45,30
55,3,7,13,Gabriela,Daniel,Beatriz,Júpiter,Vênus,Marte,JUP-28,VEN-29,MAR-30,60,22,14
93,13,5,2,Lívia,Pedro,Lucas,Netuno,Saturno,Urano,NET-31,SAT-32,URA-33,7,74,41
36,2,11,7,Isabela,Caio,Julia,Mercúrio,Plutão,Vênus,MER-34,PLU-35,VEN-36,51,38,11
81,7,3,13,Vinícius,Manuela,Sofia,Terra,Júpiter,Marte,TER-37,JUP-38,MAR-39,25,64,59
22,11,13,5,Carolina,Thiago,Larissa,Urano,Netuno,Saturno,URA-40,NET-41,SAT-42,36,48,8
12,2,7,11,Rafaela,André,Luiza,Vênus,Mercúrio,Plutão,VEN-43,MER-44,PLU-45,47,20,72
62,5,3,13,Beatriz,Felipe,Marina,Marte,Terra,Júpiter,MAR-46,TER-47,JUP-48,3,79,68
44,7,11,2,Gustavo,Camila,Eduardo,Saturno,Urano,Netuno,SAT-49,URA-50,NET-51,42,53,23
76,3,13,5,Lara,João,Sofia,Plutão,Vênus,Mercúrio,PLU-52,VEN-53,MER-54,61,11,75
25,13,2,7,Matheus,Bruna,Enzo,Netuno,Saturno,Urano,NET-55,SAT-56,URA-57,19,8,50
50,11,5,3,Amanda,Pedro,Lucas,Júpiter,Marte,Terra,JUP-58,MAR-59,TER-60,71,37,12
4,7,3,13,Sofia,Leonardo,Laura,Urano,Netuno,Saturno,URA-61,NET-62,SAT-63,26,62,70
